decision,winner,key,uncontested
bat,Sri Lanka,t20s00954,
field,Sri Lanka,t20s00955,
bat,Sri Lanka,t20s00956,
field,Sri Lanka,t20s00957,
field,Namibia,t20s00958,
field,Botswana,t20s00959,
bat,Botswana,t20s00960,
bat,Namibia,t20s00961,
bat,Namibia,t20s00962,
bat,Zimbabwe,t20s00963,
bat,Uganda,t20s00964,
bat,Pakistan,t20s00965,
bat,Indonesia,t20s00966,
bat,Japan,t20s00967,
bat,Papua New Guinea,t20s00968,
field,Uganda,t20s00969,
bat,Zimbabwe,t20s00970,
field,Nigeria,t20s00971,
bat,Fiji,t20s00972,
bat,Uganda,t20s00973,
bat,Mozambique,t20s00974,
bat,Sierra Leone,t20s00975,
bat,Japan,t20s00976,
bat,Zimbabwe,t20s00977,
bat,Vanuatu,t20s00978,
bat,Japan,t20s00979,
bat,Japan,t20s00980,
field,Papua New Guinea,t20s00981,
field,Indonesia,t20s00982,
bat,Nigeria,t20s00983,
bat,Tanzania,t20s00984,
field,Namibia,t20s00985,
field,Pakistan,t20s00986,
bat,Pakistan,t20s00987,
field,Canada,t20s00988,
field,Pakistan,t20s00989,
bat,United States of America,t20s00990,
field,Botswana,t20s00991,
field,Namibia,t20s00992,
field,Ghana,t20s00993,
bat,Namibia,t20s00994,
bat,Nigeria,t20s00995,
field,South Africa,t20s00996,
field,Ghana,t20s00997,
bat,Botswana,t20s00998,
bat,Kenya,t20s00999,
field,South Africa,t20s01000,
bat,Ghana,t20s01001,
field,Italy,t20s01002,
bat,West Indies,t20s01003,
bat,West Indies,t20s01004,
field,Ireland,t20s01005,
field,Germany,t20s01006,
field,Guernsey,t20s01007,
bat,Jersey,t20s01008,
field,Denmark,t20s01009,
bat,Denmark,t20s01010,
bat,Mali,t20s01011,
bat,Tanzania,t20s01012,
field,Guernsey,t20s01013,
bat,Uganda,t20s01014,
field,Guernsey,t20s01015,
field,Italy,t20s01016,
field,Germany,t20s01017,
bat,Denmark,t20s01018,
field,Denmark,t20s01019,
field,Germany,t20s01020,
field,Germany,t20s01021,
bat,England,t20s01022,
field,Zimbabwe,t20s01023,
field,Malaysia,t20s01024,
bat,Netherlands,t20s01025,
field,Scotland,t20s01026,
bat,Thailand,t20s01027,
field,Germany,t20s01028,
field,Netherlands,t20s01029,
bat,Thailand,t20s01030,
bat,Malaysia,t20s01031,
field,Thailand,t20s01032,
field,Germany,t20s01033,
field,Ireland,t20s01034,
bat,Malaysia,t20s01035,
field,Zimbabwe,t20s01036,
bat,Nepal,t20s01037,
bat,Singapore,t20s01038,
bat,Malaysia,t20s01039,
bat,Nepal,t20s01040,
field,Nepal,t20s01041,
field,England,t20s01042,
field,Qatar,t20s01043,
bat,Malaysia,t20s01044,
field,Nepal,t20s01045,
bat,Malaysia,t20s01046,
bat,England,t20s01047,
bat,Singapore,t20s01048,
field,Australia,t20s01049,
field,India,t20s01050,
bat,India,t20s01051,
field,United Arab Emirates,t20s01052,
field,India,t20s01053,
field,Netherlands,t20s01054,
bat,Netherlands,t20s01055,
bat,Netherlands,t20s01056,
field,Ireland,t20s01057,
bat,Scotland,t20s01058,
field,Scotland,t20s01059,
bat,Ireland,t20s01060,
bat,Ireland,t20s01061,
field,Netherlands,t20s01062,
field,Netherlands,t20s01063,
bat,Scotland,t20s01064,
bat,Bermuda,t20s01065,
bat,Canada,t20s01066,
bat,Bermuda,t20s01067,
field,United States of America,t20s01068,
field,Botswana,t20s01069,
field,Botswana,t20s01070,
bat,Cayman Islands,t20s01071,
bat,United States of America,t20s01072,
field,Canada,t20s01073,
field,Bermuda,t20s01074,
bat,Namibia,t20s01075,
bat,Botswana,t20s01076,
bat,Cayman Islands,t20s01077,
bat,Cayman Islands,t20s01078,
field,United States of America,t20s01079,
field,Singapore,t20s01080,
bat,Singapore,t20s01081,
bat,Malaysia,t20s01082,
bat,Scotland,t20s01083,
bat,Thailand,t20s01084,
field,Papua New Guinea,t20s01085,
bat,Ireland,t20s01086,
bat,United States of America,t20s01087,
bat,Sri Lanka,t20s01088,
field,Papua New Guinea,t20s01089,
bat,Sri Lanka,t20s01090,
field,United States of America,t20s01091,
field,Scotland,t20s01092,
field,Ireland,t20s01093,
bat,Namibia,t20s01094,
bat,Papua New Guinea,t20s01095,
field,Scotland,t20s01096,
bat,Ireland,t20s01097,
bat,Sri Lanka,t20s01098,
bat,Nigeria,t20s01099,
field,Ireland,t20s01100,
field,United States of America,t20s01101,
bat,Bangladesh,t20s01102,
field,Netherlands,t20s01103,
field,Bangladesh,t20s01104,
bat,West Indies,t20s01105,
field,Australia,t20s01106,
field,Netherlands,t20s01107,
bat,Scotland,t20s01108,
bat,Ireland,t20s01109,
field,India,t20s01110,
bat,West Indies,t20s01111,
field,Zimbabwe,t20s01112,
field,South Korea,t20s01113,
bat,Hong Kong,t20s01114,
bat,Netherlands,t20s01115,
bat,Hong Kong,t20s01116,
field,South Korea,t20s01117,
field,Hong Kong,t20s01118,
bat,India,t20s01119,
field,South Africa,t20s01120,
bat,Nepal,t20s01121,
bat,Singapore,t20s01122,
bat,Vanuatu,t20s01123,
bat,Australia,t20s01124,
bat,Singapore,t20s01125,
bat,Sri Lanka,t20s01126,
field,South Africa,t20s01127,
field,Nepal,t20s01128,
bat,Vanuatu,t20s01129,
bat,Australia,t20s01130,
bat,Malaysia,t20s01131,
field,India,t20s01132,
field,Zimbabwe,t20s01133,
bat,Malaysia,t20s01134,
bat,South Africa,t20s01135,
bat,Malaysia,t20s01136,
field,Pakistan,t20s01137,
field,Ireland,t20s01138,
field,Ireland,t20s01139,
field,Nepal,t20s01140,
field,Nepal,t20s01141,
bat,Ireland,t20s01142,
bat,Sri Lanka,t20s01143,
bat,Ireland,t20s01144,
bat,Netherlands,t20s01145,
bat,Sri Lanka,t20s01146,
field,Hong Kong,t20s01147,
field,Oman,t20s01148,
bat,Netherlands,t20s01149,
field,Oman,t20s01150,
bat,Hong Kong,t20s01151,
field,Scotland,t20s01152,
field,United Arab Emirates,t20s01153,
bat,Scotland,t20s01154,
field,Papua New Guinea,t20s01155,
bat,Jersey,t20s01156,
bat,Netherlands,t20s01157,
bat,Papua New Guinea,t20s01158,
field,Jersey,t20s01159,
bat,Bermuda,t20s01160,
field,Oman,t20s01161,
bat,Kenya,t20s01162,
bat,Canada,t20s01163,
bat,Hong Kong,t20s01164,
field,Oman,t20s01165,
bat,Scotland,t20s01166,
bat,Jersey,t20s01167,
bat,Namibia,t20s01168,
bat,Singapore,t20s01169,
field,Namibia,t20s01170,
bat,Nigeria,t20s01171,
bat,Singapore,t20s01172,
bat,Hong Kong,t20s01173,
bat,Canada,t20s01174,
bat,Netherlands,t20s01175,
field,United Arab Emirates,t20s01176,
bat,Hong Kong,t20s01177,
field,Bermuda,t20s01178,
bat,Canada,t20s01179,
field,Spain,t20s01180,
bat,Namibia,t20s01181,
field,Singapore,t20s01182,
field,Ireland,t20s01183,
bat,Pakistan,t20s01184,
bat,Nigeria,t20s01185,
bat,Netherlands,t20s01186,
field,Singapore,t20s01187,
bat,Gibraltar,t20s01188,
field,Spain,t20s01189,
field,Portugal,t20s01190,
field,Canada,t20s01191,
field,Netherlands,t20s01192,
field,Spain,t20s01193,
bat,Nigeria,t20s01194,
field,Kenya,t20s01195,
field,Sri Lanka,t20s01196,
field,Oman,t20s01197,
bat,United Arab Emirates,t20s01198,
bat,Namibia,t20s01199,
bat,Sri Lanka,t20s01200,
bat,Scotland,t20s01201,
bat,Oman,t20s01202,
bat,Oman,t20s01203,
field,England,t20s01204,
field,Ireland,t20s01205,
bat,Papua New Guinea,t20s01206,
field,Australia,t20s01207,
bat,Ireland,t20s01208,
bat,Papua New Guinea,t20s01209,
field,England,t20s01210,
field,Bangladesh,t20s01211,
field,Australia,t20s01212,
bat,Pakistan,t20s01213,
bat,New Zealand,t20s01214,
field,India,t20s01215,
field,New Zealand,t20s01216,
field,Australia,t20s01217,
field,West Indies,t20s01218,
bat,West Indies,t20s01219,
field,Bangladesh,t20s01220,
field,England,t20s01221,
bat,West Indies,t20s01222,
field,West Indies,t20s01223,
bat,India,t20s01224,
bat,Maldives,t20s01225,
field,Bangladesh,t20s01226,
bat,Bangladesh,t20s01227,
field,Bhutan,t20s01228,
bat,Nepal,t20s01229,
field,India,t20s01230,
bat,Maldives,t20s01231,
field,Maldives,t20s01232,
field,West Indies,t20s01233,
field,Nepal,t20s01234,
field,West Indies,t20s01235,
field,Pakistan,t20s01236,
bat,England,t20s01237,
bat,England,t20s01238,
field,India,t20s01239,
field,Sri Lanka,t20s01240,
bat,Ireland,t20s01241,
field,West Indies,t20s01242,
field,West Indies,t20s01243,
field,India,t20s01244,
bat,Bangladesh,t20s01245,
bat,Bangladesh,t20s01246,
bat,New Zealand,t20s01247,
field,New Zealand,t20s01248,
field,India,t20s01249,
field,New Zealand,t20s01250,
field,Australia,t20s01251,
field,Australia,t20s01252,
field,New Zealand,t20s01253,
bat,India,t20s01254,
field,Oman,t20s01255,
bat,Oman,t20s01256,
field,New Zealand,t20s01257,
bat,Germany,t20s01258,
field,England,t20s01259,
field,India,t20s01260,
bat,Germany,t20s01261,
field,England,t20s01262,
bat,New Zealand,t20s01263,
field,South Africa,t20s01264,
bat,Australia,t20s01265,
field,England,t20s01266,
field,South Africa,t20s01267,
bat,South Africa,t20s01268,
bat,Malaysia,t20s01269,
bat,Malaysia,t20s01270,
field,South Africa,t20s01271,
field,Australia,t20s01272,
bat,Thailand,t20s01273,
field,New Zealand,t20s01274,
field,South Africa,t20s01275,
bat,South Africa,t20s01276,
bat,Malaysia,t20s01277,
bat,Sri Lanka,t20s01278,
field,Bangladesh,t20s01279,
bat,Malaysia,t20s01280,
field,Oman,t20s01281,
bat,United Arab Emirates,t20s01282,
bat,Qatar,t20s01283,
field,Kuwait,t20s01284,
bat,United Arab Emirates,t20s01285,
field,Bahrain,t20s01286,
field,South Africa,t20s01287,
field,Thailand,t20s01288,
bat,Hong Kong,t20s01289,
bat,West Indies,t20s01290,
field,New Zealand,t20s01291,
bat,Australia,t20s01292,
field,Kuwait,t20s01293,
bat,South Africa,t20s01294,
field,Pakistan,t20s01295,
bat,New Zealand,t20s01296,
bat,Sri Lanka,t20s01297,
field,Thailand,t20s01298,
bat,Thailand,t20s01299,
field,Nepal,t20s01300,
bat,South Africa,t20s01301,
bat,England,t20s01302,
bat,Bangladesh,t20s01303,
field,New Zealand,t20s01304,
bat,Thailand,t20s01305,
bat,Singapore,t20s01306,
bat,Thailand,t20s01307,
bat,West Indies,t20s01308,
bat,Thailand,t20s01309,
bat,Singapore,t20s01310,
field,South Africa,t20s01311,
field,West Indies,t20s01312,
bat,Malaysia,t20s01313,
field,Spain,t20s01314,
bat,Australia,t20s01315,
field,Spain,t20s01316,
field,Zimbabwe,t20s01317,
field,Bangladesh,t20s01318,
field,Austria,t20s01319,
bat,Germany,t20s01320,
bat,Austria,t20s01321,
bat,Germany,t20s01322,
bat,Germany,t20s01323,
bat,Isle of Man,t20s01324,
field,Pakistan,t20s01325,
bat,Belgium,t20s01326,
field,England,t20s01327,
bat,Belgium,t20s01328,
bat,Belgium,t20s01329,
field,England,t20s01330,
field,Australia,t20s01331,
bat,Australia,t20s01332,
field,Australia,t20s01333,
bat,England,t20s01334,
field,West Indies,t20s01335,
bat,England,t20s01336,
field,New Zealand,t20s01337,
bat,New Zealand,t20s01338,
bat,England,t20s01339,
field,New Zealand,t20s01340,
field,England,t20s01341,
bat,Bulgaria,t20s01342,
bat,Romania,t20s01343,
bat,Bulgaria,t20s01344,
bat,Zimbabwe,t20s01345,
field,Pakistan,t20s01346,
bat,Zimbabwe,t20s01347,
field,England,t20s01348,
field,New Zealand,t20s01349,
field,West Indies,t20s01350,
field,England,t20s01351,
field,New Zealand,t20s01352,
bat,South Africa,t20s01353,
field,Australia,t20s01354,
field,India,t20s01355,
field,India,t20s01356,
bat,Pakistan,t20s01357,
bat,Pakistan,t20s01358,
field,Pakistan,t20s01359,
bat,Pakistan,t20s01360,
field,Pakistan,t20s01361,
field,South Africa,t20s01362,
field,South Africa,t20s01363,
field,South Africa,t20s01364,
field,Pakistan,t20s01365,
field,Australia,t20s01366,
field,Australia,t20s01367,
field,England,t20s01368,
field,New Zealand,t20s01369,
field,West Indies,t20s01370,
field,England,t20s01371,
bat,Australia,t20s01372,
bat,Sri Lanka,t20s01373,
field,New Zealand,t20s01374,
bat,Australia,t20s01375,
bat,Sri Lanka,t20s01376,
field,England,t20s01377,
field,India,t20s01378,
field,England,t20s01379,
field,England,t20s01380,
field,South Africa,t20s01381,
field,England,t20s01382,
field,South Africa,t20s01383,
field,India,t20s01384,
field,Australia,t20s01385,
bat,New Zealand,t20s01386,
field,New Zealand,t20s01387,
field,Bangladesh,t20s01388,
field,New Zealand,t20s01389,
field,Bangladesh,t20s01390,
bat,Uganda,t20s01391,
bat,Namibia,t20s01392,
bat,Namibia,t20s01393,
bat,South Africa,t20s01394,
bat,Pakistan,t20s01395,
field,Pakistan,t20s01396,
field,Pakistan,t20s01397,
field,Nepal,t20s01398,
bat,Netherlands,t20s01399,
field,Nepal,t20s01400,
bat,Nepal,t20s01401,
field,Zimbabwe,t20s01402,
field,Malaysia,t20s01403,
field,Malaysia,t20s01404,
field,Pakistan,t20s01405,
field,Netherlands,t20s01406,
bat,Pakistan,t20s01407,
field,Czech Republic,t20s01408,
field,Czech Republic,t20s01409,
field,Luxembourg,t20s01410,
bat,Austria,t20s01411,
bat,Czech Republic,t20s01412,
bat,Scotland,t20s01413,
bat,Ireland,t20s01414,
bat,Ireland,t20s01415,
bat,Scotland,t20s01416,
bat,Nigeria,t20s01417,
field,Kenya,t20s01418,
field,Rwanda,t20s01419,
bat,Namibia,t20s01420,
field,Nigeria,t20s01421,
field,Nigeria,t20s01422,
bat,Kenya,t20s01423,
bat,Namibia,t20s01424,
bat,Kenya,t20s01425,
bat,Rwanda,t20s01426,
bat,Namibia,t20s01427,
bat,Sri Lanka,t20s01428,
bat,Sri Lanka,t20s01429,
bat,Greece,t20s01430,
field,Greece,t20s01431,
bat,Bulgaria,t20s01432,
bat,Romania,t20s01433,
field,Greece,t20s01434,
bat,Serbia,t20s01435,
field,Sri Lanka,t20s01436,
field,West Indies,t20s01437,
field,West Indies,t20s01438,
field,West Indies,t20s01439,
field,Pakistan,t20s01440,
field,South Africa,t20s01441,
bat,West Indies,t20s01442,
bat,South Africa,t20s01443,
bat,Pakistan,t20s01444,
field,Germany,t20s01445,
field,Germany,t20s01446,
bat,Belgium,t20s01447,
bat,Malta,t20s01448,
field,Australia,t20s01449,
field,Belgium,t20s01450,
bat,Germany,t20s01451,
field,India,t20s01452,
bat,Belgium,t20s01453,
field,Australia,t20s01454,
bat,Belgium,t20s01455,
field,England,t20s01456,
bat,Australia,t20s01457,
bat,India,t20s01458,
bat,Australia,t20s01459,
field,England,t20s01460,
bat,West Indies,t20s01461,
field,Pakistan,t20s01462,
field,Ireland,t20s01463,
bat,Pakistan,t20s01464,
bat,South Africa,t20s01465,
bat,Zimbabwe,t20s01466,
bat,Zimbabwe,t20s01467,
bat,South Africa,t20s01468,
field,Sri Lanka,t20s01469,
bat,Zimbabwe,t20s01470,
field,Netherlands,t20s01471,
field,Sri Lanka,t20s01472,
field,Pakistan,t20s01473,
bat,Netherlands,t20s01474,
bat,India,t20s01475,
field,Netherlands,t20s01476,
field,West Indies,t20s01477,
bat,West Indies,t20s01478,
field,Australia,t20s01479,
field,Pakistan,t20s01480,
bat,Australia,t20s01481,
field,Germany,t20s01482,
field,France,t20s01483,
bat,Bangladesh,t20s01484,
field,Germany,t20s01485,
bat,Bangladesh,t20s01486,
field,France,t20s01487,
field,France,t20s01488,
field,Germany,t20s01489,
bat,Norway,t20s01490,
bat,Bangladesh,t20s01491,
field,Sweden,t20s01492,
field,Denmark,t20s01493,
bat,Ghana,t20s01494,
bat,Ghana,t20s01495,
field,Malta,t20s01496,
field,Ghana,t20s01497,
field,Gibraltar,t20s01498,
bat,Rwanda,t20s01499,
bat,Sweden,t20s01500,
bat,Sweden,t20s01501,
field,Gibraltar,t20s01502,
field,Sweden,t20s01503,
field,Sweden,t20s01504,
field,Scotland,t20s01505,
field,Germany,t20s01506,
bat,France,t20s01507,
field,Netherlands,t20s01508,
field,Ireland,t20s01509,
bat,France,t20s01510,
bat,Ireland,t20s01511,
field,Zimbabwe,t20s01512,
bat,Thailand,t20s01513,
field,Ireland,t20s01514,
field,Scotland,t20s01515,
field,Sweden,t20s01516,
bat,Zimbabwe,t20s01517,
bat,Thailand,t20s01518,
field,Scotland,t20s01519,
field,Netherlands,t20s01520,
bat,South Africa,t20s01521,
field,New Zealand,t20s01522,
bat,New Zealand,t20s01523,
field,Zimbabwe,t20s01524,
field,Czech Republic,t20s01525,
field,Bulgaria,t20s01526,
field,West Indies,t20s01527,
field,Zimbabwe,t20s01528,
bat,Bangladesh,t20s01529,
bat,Romania,t20s01530,
bat,Bulgaria,t20s01531,
bat,Romania,t20s01532,
field,New Zealand,t20s01533,
bat,South Africa,t20s01534,
bat,Zimbabwe,t20s01535,
field,Hungary,t20s01536,
field,Malta,t20s01537,
bat,New Zealand,t20s01538,
field,Hungary,t20s01539,
bat,Romania,t20s01540,
bat,New Zealand,t20s01541,
field,Rwanda,t20s01542,
bat,Botswana,t20s01543,
bat,Sierra Leone,t20s01544,
field,England,t20s01545,
bat,Tanzania,t20s01546,
field,Mozambique,t20s01547,
bat,Namibia,t20s01548,
bat,South Africa,t20s01549,
bat,New Zealand,t20s01550,
bat,Kenya,t20s01551,
field,Germany,t20s01552,
field,Spain,t20s01553,
bat,Germany,t20s01554,
bat,Uganda,t20s01555,
bat,Uganda,t20s01556,
field,Mozambique,t20s01557,
bat,Eswatini,t20s01558,
bat,Nigeria,t20s01559,
bat,Rwanda,t20s01560,
bat,Sri Lanka,t20s01561,
bat,Tanzania,t20s01562,
bat,Kenya,t20s01563,
bat,Nigeria,t20s01564,
bat,Tanzania,t20s01565,
bat,Sierra Leone,t20s01566,
bat,Sri Lanka,t20s01567,
bat,Cameroon,t20s01568,
bat,Scotland,t20s01569,
bat,Uganda,t20s01570,
bat,Nigeria,t20s01571,
bat,Mozambique,t20s01572,
field,Rwanda,t20s01573,
bat,Botswana,t20s01574,
bat,Zimbabwe,t20s01575,
bat,Zimbabwe,t20s01576,
bat,Uganda,t20s01577,
bat,Uganda,t20s01578,
bat,Zimbabwe,t20s01579,
bat,Scotland,t20s01580,
field,Cyprus,t20s01581,
bat,Estonia,t20s01582,
bat,Cyprus,t20s01583,
bat,Estonia,t20s01584,
field,Australia,t20s01585,
field,Isle of Man,t20s01586,
bat,United Arab Emirates,t20s01587,
bat,Papua New Guinea,t20s01588,
field,Ireland,t20s01589,
field,Isle of Man,t20s01590,
bat,Cyprus,t20s01591,
field,Australia,t20s01592,
field,Namibia,t20s01593,
field,India,t20s01594,
field,Papua New Guinea,t20s01595,
field,United Arab Emirates,t20s01596,
field,Germany,t20s01597,
bat,Denmark,t20s01598,
bat,Malawi,t20s01599,
bat,Seychelles,t20s01600,
bat,Denmark,t20s01601,
bat,Jersey,t20s01602,
field,Ghana,t20s01603,
field,Malawi,t20s01604,
bat,Uganda,t20s01605,
field,Seychelles,t20s01606,
field,Oman,t20s01607,
field,Denmark,t20s01608,
field,Bangladesh,t20s01609,
bat,Italy,t20s01610,
bat,Netherlands,t20s01611,
field,Sri Lanka,t20s01612,
field,Sierra Leone,t20s01613,
bat,Lesotho,t20s01614,
field,Ghana,t20s01615,
bat,Germany,t20s01616,
bat,Swaziland,t20s01617,
bat,Bangladesh,t20s01618,
bat,Scotland,t20s01619,
bat,Canada,t20s01620,
field,Brazil,t20s01621,
field,Denmark,t20s01622,
field,Namibia,t20s01623,
field,Ireland,t20s01624,
field,Jersey,t20s01625,
field,Denmark,t20s01626,
bat,Malawi,t20s01627,
field,Ghana,t20s01628,
bat,Swaziland,t20s01629,
bat,Rwanda,t20s01630,
field,Sierra Leone,t20s01631,
field,Ghana,t20s01632,
bat,Denmark,t20s01633,
bat,Oman,t20s01634,
bat,Malta,t20s01635,
field,Germany,t20s01636,
bat,Bangladesh,t20s01637,
bat,Ireland,t20s01638,
field,Sri Lanka,t20s01639,
bat,Gibraltar,t20s01640,
bat,Bulgaria,t20s01641,
bat,Swaziland,t20s01642,
bat,Malawi,t20s01643,
bat,Uganda,t20s01644,
bat,Switzerland,t20s01645,
bat,Maldives,t20s01646,
field,Australia,t20s01647,
field,England,t20s01648,
bat,Sierra Leone,t20s01649,
field,United States of America,t20s01650,
field,Sri Lanka,t20s01651,
field,Pakistan,t20s01652,
bat,Gibraltar,t20s01653,
bat,Malta,t20s01654,
bat,Nigeria,t20s01655,
field,Kuwait,t20s01656,
field,Maldives,t20s01657,
bat,Nigeria,t20s01658,
field,South Africa,t20s01659,
field,Pakistan,t20s01660,
field,Bahrain,t20s01661,
bat,Bangladesh,t20s01662,
field,Namibia,t20s01663,
field,Australia,t20s01664,
field,Kuwait,t20s01665,
field,Saudi Arabia,t20s01666,
field,Bangladesh,t20s01667,
bat,Kuwait,t20s01668,
field,South Africa,t20s01669,
field,England,t20s01670,
field,New Zealand,t20s01671,
field,Sri Lanka,t20s01672,
field,South Africa,t20s01673,
bat,Pakistan,t20s01674,
bat,Botswana,t20s01675,
bat,Tanzania,t20s01676,
bat,Sierra Leone,t20s01677,
field,Scotland,t20s01678,
field,Cameroon,t20s01679,
field,Australia,t20s01680,
field,West Indies,t20s01681,
field,Namibia,t20s01682,
field,India,t20s01683,
bat,Cameroon,t20s01684,
bat,Mozambique,t20s01685,
field,Australia,t20s01686,
field,England,t20s01687,
bat,Botswana,t20s01688,
bat,Tanzania,t20s01689,
bat,Tanzania,t20s01690,
field,United States of America,t20s01691,
bat,Pakistan,t20s01692,
bat,Cameroon,t20s01693,
bat,Canada,t20s01694,
bat,United States of America,t20s01695,
field,India,t20s01696,
bat,Bahamas,t20s01697,
bat,Belize,t20s01698,
bat,Canada,t20s01699,
bat,Argentina,t20s01700,
field,Bahamas,t20s01701,
field,New Zealand,t20s01702,
field,Australia,t20s01703,
bat,Argentina,t20s01704,
bat,Bahamas,t20s01705,
bat,Belize,t20s01706,
field,Bahamas,t20s01707,
bat,Argentina,t20s01708,
bat,Canada,t20s01709,
field,Australia,t20s01710,
field,Qatar,t20s01711,
bat,Nepal,t20s01712,
field,India,t20s01713,
bat,Nigeria,t20s01714,
bat,Kenya,t20s01715,
bat,Uganda,t20s01716,
bat,Tanzania,t20s01717,
bat,Nepal,t20s01718,
bat,Tanzania,t20s01719,
bat,Nigeria,t20s01720,
bat,Tanzania,t20s01721,
field,Uganda,t20s01722,
bat,Bangladesh,t20s01723,
field,India,t20s01724,
bat,Bangladesh,t20s01725,
field,Uganda,t20s01726,
field,Nigeria,t20s01727,
bat,Kenya,t20s01728,
bat,Tanzania,t20s01729,
bat,India,t20s01730,
field,Malaysia,t20s01731,
field,Kuwait,t20s01732,
bat,Bangladesh,t20s01733,
field,Hong Kong,t20s01734,
bat,Malaysia,t20s01735,
bat,Bhutan,t20s01736,
field,Bhutan,t20s01737,
bat,Kuwait,t20s01738,
field,Hong Kong,t20s01739,
field,Bhutan,t20s01740,
field,United Arab Emirates,t20s01741,
field,Nepal,t20s01742,
bat,Malaysia,t20s01743,
bat,Hong Kong,t20s01744,
field,West Indies,t20s01745,
bat,Pakistan,t20s01746,
bat,West Indies,t20s01747,
bat,United States of America,t20s01748,
field,United States of America,t20s01749,
field,Bangladesh,t20s01750,
bat,Sri Lanka,t20s01751,
bat,Scotland,t20s01752,
field,Kenya,t20s01753,
field,Australia,t20s01754,
field,Sri Lanka,t20s01755,
field,Australia,t20s01756,
field,Kenya,t20s01757,
field,Malaysia,t20s01758,
field,West Indies,t20s01759,
bat,Scotland,t20s01760,
bat,Kenya,t20s01761,
field,West Indies,t20s01762,
bat,Sri Lanka,t20s01763,
field,England,t20s01764,
field,West Indies,t20s01765,
bat,West Indies,t20s01766,
field,India,t20s01767,
field,Sri Lanka,t20s01768,
field,Nepal,t20s01769,
field,Ireland,t20s01770,
field,Nepal,t20s01771,
field,Sri Lanka,t20s01772,
field,Ireland,t20s01773,
field,Oman,t20s01774,
field,Nepal,t20s01775,
field,Australia,t20s01776,
field,India,t20s01777,
bat,United Arab Emirates,t20s01778,
field,Philippines,t20s01779,
field,Bahrain,t20s01780,
field,West Indies,t20s01781,
field,Oman,t20s01782,
field,Australia,t20s01783,
bat,Ireland,t20s01784,
field,Oman,t20s01785,
field,Philippines,t20s01786,
bat,United Arab Emirates,t20s01787,
bat,Australia,t20s01788,
field,West Indies,t20s01789,
field,Ireland,t20s01790,
bat,Bahrain,t20s01791,
bat,Canada,t20s01792,
bat,Philippines,t20s01793,
bat,United Arab Emirates,t20s01794,
field,Oman,t20s01795,
field,Canada,t20s01796,
bat,Bahrain,t20s01797,
field,Germany,t20s01798,
field,Sri Lanka,t20s01799,
bat,Bahrain,t20s01800,
bat,Oman,t20s01801,
bat,Ireland,t20s01802,
field,India,t20s01803,
bat,Sri Lanka,t20s01804,
bat,Qatar,t20s01805,
field,Kuwait,t20s01806,
bat,Qatar,t20s01807,
field,Saudi Arabia,t20s01808,
bat,United Arab Emirates,t20s01809,
field,Saudi Arabia,t20s01810,
bat,Qatar,t20s01811,
bat,United Arab Emirates,t20s01812,
field,United Arab Emirates,t20s01813,
field,Kuwait,t20s01814,
bat,Qatar,t20s01815,
bat,Kuwait,t20s01816,
bat,Oman,t20s01817,
bat,United Arab Emirates,t20s01818,
field,Papua New Guinea,t20s01819,
bat,Malaysia,t20s01820,
bat,Malaysia,t20s01821,
field,Papua New Guinea,t20s01822,
field,Papua New Guinea,t20s01823,
field,Malaysia,t20s01824,
field,Papua New Guinea,t20s01825,
field,Australia,t20s01826,
field,Namibia,t20s01827,
field,Uganda,t20s01828,
field,Uganda,t20s01829,
bat,Zimbabwe,t20s01830,
field,Uganda,t20s01831,
bat,Zimbabwe,t20s01832,
bat,Zimbabwe,t20s01833,
field,Zimbabwe,t20s01834,
field,Uganda,t20s01835,
field,Uganda,t20s01836,
field,Namibia,t20s01837,
field,Namibia,t20s01838,
field,Zimbabwe,t20s01839,
bat,Hong Kong,t20s01840,
field,Hong Kong,t20s01841,
bat,United Arab Emirates,t20s01842,
bat,Norway,t20s01843,
bat,Guernsey,t20s01844,
bat,Spain,t20s01845,
bat,Hong Kong,t20s01846,
bat,Norway,t20s01847,
bat,Spain,t20s01848,
bat,Spain,t20s01849,
field,Finland,t20s01850,
field,Finland,t20s01851,
bat,Denmark,t20s01852,
field,Malta,t20s01853,
field,Hungary,t20s01854,
field,Hungary,t20s01855,
field,Malta,t20s01856,
bat,Czech Republic,t20s01857,
field,Bulgaria,t20s01858,
bat,Romania,t20s01859,
bat,Czech Republic,t20s01860,
field,Czech Republic,t20s01861,
bat,Gibraltar,t20s01862,
bat,Romania,t20s01863,
bat,Bulgaria,t20s01864,
bat,Hungary,t20s01865,
bat,Gibraltar,t20s01866,
bat,Bulgaria,t20s01867,
bat,Gibraltar,t20s01868,
field,Hungary,t20s01869,
bat,Romania,t20s01870,
field,Nepal,t20s01871,
field,Uganda,t20s01872,
bat,Zimbabwe,t20s01873,
bat,Zimbabwe,t20s01874,
bat,Nepal,t20s01875,
bat,Nepal,t20s01876,
field,Guernsey,t20s01877,
field,Uganda,t20s01878,
bat,Namibia,t20s01879,
field,Namibia,t20s01880,
bat,Sri Lanka,t20s01881,
field,Zimbabwe,t20s01882,
bat,Sri Lanka,t20s01883,
bat,Sri Lanka,t20s01884,
field,South Africa,t20s01885,
bat,Ireland,t20s01886,
field,Australia,t20s01887,
field,Australia,t20s01888,
field,South Africa,t20s01889,
field,Nigeria,t20s01890,
field,South Africa,t20s01891,
